time_s,accel_g,stress_mpa,innovation_g
2.00451723,0.05386139147137157,0.00044014116114601815,0.0544
2.013659223,-0.01774774952264404,0.0023502226336678377,-0.14386139147137156
2.026077833,0.017742906221727466,0.007198319126008236,0.10664774952264405
2.034705354,0.002441688055493685,0.01710897191786519,-0.06114290622172747
2.041061301,0.016790613672581674,0.03498699855192329,0.0714583119445063
2.050930553,0.023005071803212186,0.06534990139470538,0.03700938632741833
2.058925809,0.022932085727096565,0.11485789408099024,-0.000505071803212187
2.068194494,0.026014683522245747,0.19204959936483493,0.024267914272903434
2.075333698,0.0236863957034555,0.30721251383189474,-0.020514683522245745
2.082533998,0.025495869455709568,0.47221329462031836,0.017613604296544502
2.091518399,0.021924917664361034,0.7002862094255442,-0.03799586945570957
2.103908611,0.015954803076085364,1.0050995676772299,-0.06882491766436102
2.116616106,0.015555120810552894,1.4001028541012654,-0.004954803076085364
2.127950776,0.016804257144751637,1.899260604282747,0.016544879189447102
